strategy,params,model,LROC,BWT,FWT,distance_metric,dataset
Cumulative,,OneClassSVM(gamma='auto'),0.708666667,0.042894737,0.653842105,Canberra,NSLKDD A
Naive,,LocalOutlierFactor(n_neighbors=10_novelty=True),0.731619048,-0.037578947,0.444157895,Canberra,NSLKDD A
Naive,,IsolationForest(random_state=0),0.615238095,-0.127947368,0.723210526,Canberra,NSLKDD A
Naive,,COPOD(contamination=0.01_n_jobs=1),0.676190476,-0.042368421,0.656210526,Canberra,NSLKDD A
Naive,,AutoEncoder,0.82947619,-0.032210526,0.873210526,Canberra,NSLKDD A
Naive,,OneClassSVM(gamma='auto'),0.777238095,-0.002052632,0.746736842,Canberra,NSLKDD A
Replay,budget=0.2_compact_True,LocalOutlierFactor(n_neighbors=10_novelty=True),0.754428571,0.212578947,0.224473684,Canberra,NSLKDD A
Replay,budget=0.2_compact_True,IsolationForest(random_state=0),0.93647619,-0.002421053,0.902263158,Canberra,NSLKDD A
Replay,budget=0.2_compact_True,COPOD(contamination=0.01_n_jobs=1),0.868761905,0.058473684,0.738947368,Canberra,NSLKDD A
Replay,budget=0.2_compact_True,AutoEncoder,0.941809524,0.034947368,0.890473684,Canberra,NSLKDD A
Replay,budget=0.2_compact_True,OneClassSVM(gamma='auto'),0.808333333,-0.065842105,0.823947368,Canberra,NSLKDD A
Cumulative,,LocalOutlierFactor(n_neighbors=10_novelty=True),0.691333333,0.052052632,0.427894737,Canberra,NSLKDD C
